,text,root,event,label
888,I want to stay for 5 nights starting on Tuesday .,want,nights Tuesday on 5 want for starting stay I,1
889,I 'm sorry but you 'll have to book another day or a shorter stay . When would you like to stay ?,'m,have another book 'm you day I,1
890,Can you see if they have just 1 night available ?,see,available just see have night you 1 they,1
891,Your booking was successful with a reference number of S1HTVV32 . Is there anything else I can do for you today ?,Is,today anything I Is do,1
892,I need a taxi please between the 2 places . I want to leave the attraction by 2:30 .,want,by attraction want 2:30 I leave,1
893,"Booking completed ! Please look out for a Grey BMW , their contact number is 07130839627 . Is there anything else I can help with ?",is,is 07130839627 number,1
894,"Awesome , thanks ! I think that takes care of everything I needed .",,,0
895,Okay great please enjoy your stay and do n't hesitate to call us back if you need anything else .,,,0
896,I 'm looking for a hotel that includes free wifi and free parking .,,,0
897,"There are definitely lots of places that provide complimentary parking and wifi . Do you prefer any particular part of town , or are you looking for a certain price range ?",,,0
898,I would like a hotel in the centre and it should be in the cheap price range .,,,0
899,I do n't have any hotels that meet your criteria but I do have two guesthouses available ? Would that be okay ?,,,0
900,"Yes , that would be fine . What are the names of the two guesthouses ?",,,0
901,One i d alexander bed and breakfast and the other is el shaddai .,,,0
902,What star ratings are they ?,,,0
903,Alexander bed and breakfast is 4 stars and el shaddai is 0 stars .,,,0
904,Okay may I please have the phone number for Alexander bed and breakfast ?,,,0
905,Of course ! The telephone number for Alexander Bed and Breakfast is 01223525725 .,is,01223525725 number is,1
906,Thank you ! I 'm also looking for a train for saturday .,looking,saturday for for I looking train,1
907,"Okay . Would you like to narrow it down by departure site , destination , or arrival time ?",,,0
908,"I need to leave Cambridge on Saturday , please .",need,leave on Cambridge need I Saturday,1
909,"OK . Where are you heading , and at what time ?",,,0
910,i am going to ely and it should leave by 18:00,,,0
911,The earliest train leaves at 19:50 and the last one leaves at 23:50 . Which one could you like to take ?,leaves,at 19:50 leaves,1
912,Please pick one that meets my requirements .,,,0
913,"Then , that would be TR7349 departing at 19:50 and arriving in Ely by 20:07 . Do you need any tickets ?",be,that TR7349 19:50 20:07 be at arriving by departing,1
914,"No , Make sure you get travel time , price , and train ID",,,0
915,"Train ID is the one that was referenced earlier , price is 3.52 pounds per person , it is only a 17 minute trip . Is there anything else that i can do ?",is,17 is it trip minute,1
916,No thank you .,,,0
917,Do you need any further assistance with anything else ?,,,0
918,No thank you that will be all,,,0
919,You are welcome . Thank you for contacting Cambridge TownInfo centre . Goodbye .,,,0
920,Let 's find me an expensiove place to eat in the centre,,,0
921,sure i have 33 options for you,,,0
922,"How about you pick one and reserve a table for 5 on sunday at 11:45 , and I 'll need that reference number too .",pick,table 11:45 on one at pick reserve sunday you,1
923,Sure ! I 've booked you at Fitzbillies at 11:45 on Sunday for 5 . Your reference number is Y5EX13L7 . Is there anything else I can help you with ?,booked,for I you Sunday at booked 5 on 11:45,1
924,Great can you also help me get a train ? I 'm looking to go to ely and arrive by 21:30,looking,looking arrive go 21:30 I by,1
925,On what day will you be leaving ?,leaving,On leaving day what you,1
926,I will be leaving on Monday,leaving,leaving Monday I,1
927,TR5484 leaves at 13:50 and costs 4.40 pounds . is that fine with you ?,TR5484,leaves at 13:50 TR5484,1
928,"Yes , but i need to book four more people as well .",,,0
929,So I have 5 tickets booked . The reference number is YD9YNVV4 .,,,0
930,Thank you very much .,,,0
931,Thank you . Is there anything else ?,,,0
932,"No , that 's all . Good bye",,,0
933,You 're very welcome ! Have a great day !,,,0
934,I would like to eat in the Center of town at a expensive place .,,,0
935,"For Town Centre , there are African , Asian Oriental , and British options . Which of these would you prefer ?",,,0
936,How about African ? I 'd like to book a table for 7 at 16:15 on Tuesday .,like,on book I table Tuesday like,1
937,I have booked a table at bedouin African restaurant for 7 people at 16:15 tuesday . Your reference number is VAZCWIS6 . May I help with anything else ?,booked,at booked tuesday table 16:15 I,1
938,Nope that 's all I needed ! Thanks !,,,0
939,Okay great . Enjoy your dining experience .,,,0
940,Can you help me find a place to stay that 's four stars and has free wifi ?,,,0
941,Twenty one accomodations meet your needs . What part of town are you planning to stay in ?,,,0
942,That does n't matter as long as it 's cheap .,,,0
943,There are 21 places in that criteria . What area of town ? Or perhaps a need for free parking ?,,,0
944,"It does n't matter . Like I told you , it just needs to be a cheap 4 star place with free wifi .",,,0
945,The Alexander bed and breakfast is the best option .,,,0
946,Okay I would like to make a booking for 5 people and 4 nights starting from wednesday .,like,make I starting booking nights like people wednesday 5 from 4 for,1
947,Will you needing a reference number ?,,,0
948,"Yes , of course .",,,0
949,Booking was successful . Reference number is : JVC5MSAV . anything else today ?,anything,anything today,1
950,"I also need a train on Friday , departing after 9:00 .",need,after need departing on train 9:00 I Friday,1
951,Ok . Where are you departing from ?,,,0
952,i am departing from cambridge,,,0
953,Where will you be traveling to ?,,,0
954,"I will be traveling to ely , no need to book , but i need the train number , travel time departure time and arrival time",,,0
955,Train TR8792 departs at 09:50 and will arrive in Ely at 10:07 . The total travel time is 17 minutes . Anything more I can help with ?,is,17 is minutes time,1
956,That is all . Thanks for your time .,,,0
957,"Your welcome , have a great day !",,,0
958,I do n't know if this is possible but can you please get me some information on the alexander bed and breakfast ?,,,0
959,"sure , i have their information . what would you like to know ?",,,0
960,"Ah , I just wanted to know it was still open . Could you book me a room ?",,,0
961,"Sure , what day would you like it for ?",,,0
962,3 nights starting from friday .,nights,starting from 3 nights friday,1
963,A reservation for 1 person ?,,,0
964,"No , I would like it for 4 people .",,,0
965,Booking was successful . Reference number is : CRLJAWX3 .,,,0
966,I also need to find an Indian restaurant in the east please .,,,0
967,"There are a few Indian restaurants in the east , do you have a price range you are trying to stick to ?",,,0
968,In the mid - range would be fine .,,,0
969,Rajmahal is a moderately priced Indian restaurant . How many people will be dining ?,,,0
970,4 of us Friday at 14:45 I need the reference number too .,need,I need number 4 Friday,1
971,"Your table is reserved , reference # NKKOLWNU . Can I help you with anything else today ?",help,you I today help,1
972,"Yes , I 'd also like to book a taxi . I 'd like to arrive at the restaurant by the booked time .",,,0
973,Where will you be departing from ?,,,0
974,I will be traveling between the hotel and restaurant .,,,0
975,What time would you like to travel ?,,,0
976,I would like to get to the restaurant by 14:45 please .,like,like by get please I 14:45,1
977,Booking completed ! Booked car type : white honda Contact number : 07125482836,,,0
978,"Great , thanks so much , that 's all I need ! Have a great day !",,,0
979,You 're welcome ! Goodbye .,,,0
980,Can you find me a train from Cambridge to Leicester ?,,,0
981,There are several what day and time do you want to leave or arrive ?,,,0
982,I 'd like to leave on wednesday and should arrive by 13:00,like,wednesday like on leave I,1
983,The TR2176 leaves Cambridge at 09:21 and gets into Leicester at 11:06 . Will that work for you ?,leaves,09:21 leaves 11:06 TR2176 gets at at Cambridge,1
984,What is the price of that train ?,,,0
985,The price is 37.80 pounds . Would you like to go ahead a book a seat ?,,,0
986,"Yes , I would like to book a seat on that train . Thank you .",,,0
987,"Just to clarify , am I booking just one ticket or more ?",,,0
988,yes . also findme primavera 's phone number,,,0
989,"Booking was successful , the total fee is 37.79 GBP payable at the station . Reference number is : 2Z3LQ075 . What else did you need ?",,,0
990,Thanks . I am also looking for the Primavera . It is an attraction .,,,0
991,yes its a very nice attraction .,,,0
992,Can I get their phone number please ?,,,0
993,their phone number is 01223357708 . can i help with something else ?,,,0
994,No . That will be all . Thank you .,,,0
995,Thank you for contacting the Cambridge TownInfo centre . Goodbye,,,0
996,I need a place to eat that is expensive .,,,0
997,I 've found 57 restaurants that match your request . Is there a particular area you 'd like to dine in ?,,,0
998,"In the centre , please .",,,0
999,"There are 33 restaurants in that area , do you have a preference of the type of restaurant ?",,,0
1000,i want something with malaysian food .,,,0
1001,"I am sorry I have no listings for malaysian food , another type ?",,,0
1002,I actually just need an expensive place to dine in the Centre of town .,,,0
1003,Kymmoy offers Asian Oriental food . Would you like to book a table there ?,,,0
1004,Yes please . Can you book that for 8 people on Saturday at 15:30 ?,book,on that people at book Saturday 8 you for 15:30,1
1005,Sure thing . I will work on getting this booked and be right back with you .,,,0
1006,"Okay , thank you .",,,0
1007,you are welcome,,,0
1008,"If Saturday fails , try Monday and provide the reference number . Also looking for a guesthouse in the same area with internet . Provide starts and address please .",try,try Saturday fails Monday,1
1009,Your restaurant booking was successful . This is the reference number PQA4WKNF . It is for Saturday at 15:30 for 8 people .,is,It Saturday for 15:30 is at,1
1010,Can you book me two taxi cabs that offer groupon discounts to take us to the restaurant ?,,,0
1011,I do n't think we have any affiliations with Groupon . Is there anything else I can help you with today ?,Is,I Is help anything today with you,1
1012,I 'm looking for a place to stay . The hotel should be in the same price range as the restaurant and should be in the type of guesthouse .,,,0
1013,I am sorry but there are no guesthouses matching . Would you like to try a hotel instead ?,,,0
1014,A hotel would be fine .,,,0
1015,Would you like me to book it for you ?,,,0
1016,What expensive hotel do you recommend ?,,,0
1017,There are two hotels matching your needs and I highly recommend university arms hotel . Do you want me to book it ?,,,0
1018,"I just need their address , star level and whether they have internet please .",,,0
1019,University arms hotel is 4 stars located on regent street . They have internet and parking . Would you like me to book that for you ?,,,0
1020,"Not yet , that 's all for now . Thank you for all your help .",,,0
1021,Thank you for calling . Please call us back if we can assist you in any other way . Goodbye .,,,0
1022,I am planning a trip in Cambridge,,,0
1023,I can help plan your trip ! What do you need ?,,,0
1024,I need a train ticket going to cambridge from norwich on saturday anytime after 15:00,need,I going saturday need 15:00 ticket on after,1
1025,There are 9 trains traveling from norwich to cambridge after that time on Saturday . Do you need to arrive by a certain time ?,are,on are Saturday,1
1026,"No it does n't matter when I get there . Can you pick one , and make me a booking for three people ? I need a reference number too !",,,0
1027,Okay . I 've booked you three tickets on the TR9724 . Your reference number is J87QHBRM . You 'll owe 42.24 at the station .,,,0
1028,Thank you . I also need info on a place to go in the west . Any one will do . Just something to see .,,,0
1029,"You have a few attraction options in the west area ; colleges , museums and even an entertainment attraction . Which one sounds best for your trip ?",,,0
1030,Can you recommend one and give their post code ?,,,0
1031,How does the Clare Hall sound ? The postcode is cb39al .,,,0
1032,"That sonds great , thanks . That s all I need for today .",s,today all for s need That I,1
1033,You 're welcome ! Have a great day !,,,0
1034,"Hello , I 'm looking for a place to stay in town . I 'd like a place with free parking and a 2 star rating , please .",,,0
1035,Ashley hotel is in the north part of town and has a 2 star rating and parking .,,,0
1036,Is it a hotel or guesthouse ?,,,0
1037,The Ashley is a hotel . It 's on the north end of town . Would you like to make a reservation here or should we keep looking ?,,,0
1038,"That 's fine . Can you book it for 2 people for 2 nights , starting from Thursday ?",book,2 starting you 2 for for Thursday people it nights from book,1
1039,Sure ! Your reference number is VEPGFLTA . Anything else ?,,,0
1040,No thank you . I appreciate all your help .,,,0
1041,You 're welcome ! Have a great day ! Goodbye .,,,0
1042,I need a train on Tuesday that arrives by 16:45 .,need,by Tuesday need on arrives train I that 16:45,1
1043,"Certainly , where is your place of departure and arrival ?",,,0
1044,I want to depart from London and arrive in Cambridge .,,,0
1045,london kings cross or london liverpool street ?,,,0
1046,london liverpool street .,,,0
1047,I have train TR1395 that leaves at 13:39 and will arrive in Cambridge by 15:07 . Would that work for you ? I would be happy to book your ticket .,have,leaves have 15:07 that by TR1395 arrive I,1
1048,For two people please . I will need the reference number . I also want to stay at the Lensfield hotel .,,,0
1049,Your train booking was successful . You can pay the fee of 33.2 at the station . Your reference number is 14AXWO0V .,,,0
1050,do you know the lensfield hotel ? I need their phone # and how many stars do they currently have ?,,,0
1051,The lensfield is a 3 star hotel and the phone number is 01223355017 . Would you like to make reservations there ?,,,0
1052,No thank you . That 's all I need for now .,,,0
1053,Ok . Enjoy your stay .,,,0
1054,"Hi , I am planning a trip and could use some help with a particular attraction .",,,0
1055,"Okay , sounds good . What attraction are you thinking about ?",,,0
1056,I 'm looking for Milton Country Park .,,,0
1057,I have found it what types of information can I get you on it ?,,,0
1058,"Can I get the attraction type , entrance fee , and postcode please ?",,,0
1059,It 's a Park and there 's no entrance fee . It 's free for all . The postcode is cb46az . How can I be of further assistance today ?,be,be today I,1
1060,I 'm also looking for a great Italian restaurant on the east side of town that you would recommend .,,,0
1061,I would suggest pizza hut fen ditton,,,0
1062,What are their prices like ?,,,0
1063,They are moderately priced,,,0
1064,What is the address and phone number to Pizza Hut Fen Ditton ?,,,0
1065,"The number is 01223323737 , and it is in Cambridge Retail Park Newmarket Road Fen Ditton .",is,number is 01223323737,1
1066,Great ! Thank you ! That 's all I needed .,,,0
1067,You 're welcome ! Have a wonderful day .,,,0
1068,I 'm hoping to book a train from bishops stortford to cambridge . Please list all times for that route .,,,0
1069,There 's a total of 70 trains . Is there a particular time of day you would like to travel ?,,,0
1070,I need to leave Wednesday and arrive after 11:15 .,need,I leave arrive 11:15 need after Wednesday,1
1071,Thanks for that information . What time you would like to leave ?,,,0
1072,I would like to leave after 11:15 .,like,leave I 11:15 after like,1
1073,Unfortunately there are no trains meeting your criteria . Would you like me to look up another departure and arrival time ?,,,0
1074,"no , i want that day and time please",,,0
1075,The TR0516 leaves Cambridge at 11:29 on Wednesday . Will that work for you ?,leaves,on 11:29 leaves TR0516 Wednesday at Cambridge,1
1076,"Well , I need to know the arrival time first .",,,0
1077,Arrival time is 12:07 does that work for you ?,is,time is 12:07,1
1078,"Yeah , that works . Can you recommend a 0 star hotel for me ?",,,0
1079,Yes I have two guesthouses and 1 hotel in that category do you have a preferred area ?,,,0
1080,I 'd like it to be in the centre please .,,,0
1081,In the town centre there is one guesthouse and one hotel with 0 stars . Would you like the hotel or the guesthouse ?,,,0
1082,"it does n't really matter . Moderately priced located in the centre . I need phone number , hotel type and if they have free parking or not",,,0
1083,i suggest cityroomz . its a hotel in the moderate price range . their phone number is 01223327978,is,01223327978 number is,1
1084,Does it have free parking ?,,,0
1085,"Yes , they do have free parking at this hotel .",,,0
1086,"Great , thank you . That is all that I need .",,,0
1087,"You 're welcome , have a great day !",,,0
1088,Hi ! I 'm looking for a train to Norwich on Saturday .,looking,Saturday looking on train for I,1
1089,What is your departure site and time ?,,,0
1090,From Cambridge and I want to arrive by 20:30 .,want,I 20:30 want by arrive,1
1091,I have a train that would leave at 18:36 and arrive by 19:55 . It 's 79 minutes long and costs 14.08 pounds . Would you like me to book it ?,'s,'s long It minutes 79,1
1092,"Yes please , book it for 7 people .",,,0
1093,All booked and ready to go ! The reference number is RJVNE0PT .,,,0
1094,I am also looking for a place to stay . Can you find a 1 star hotel for me that is a guesthouse ?,,,0
1095,"Unfortunately , there are no guesthouses that meet that criteria . In the area , there are 24 guesthouses , some of them cheap , some expensive . Can you narrow down your choices ?",,,0
1096,"If there are no 1 star guesthouses , please find me the cheapest one that includes free wifi .",,,0
1097,Alexander bed and breakfast is a 4 star cheap guesthouse with free interenet and parking located in the centre . Does that work for you ?,,,0
1098,Yes Alexander bed and breakfast that has a star of 4 would be great .,,,0
1099,"Sure , I can book that for you . How many people will be staying and for how long also arriving what day ?",,,0
1100,There will be 7 people staying for 2 nights beginning on Thursday .,be,be nights staying Thursday for 7 beginning people 2 on,1
1101,"My attempt to book your party was unsuccessful . Would you like to try a different length of stay , or a different hotel ?",,,0
1102,Would 1 night work instead ? If it does could I get the reference number please ?,work,night work 1,1
1103,"Yes , 1 night will work . I 've booked the hotel for you , and your reference number is FIINUE5N . What else can I help you with ?",work,1 work night,1
1104,That will be all . Thank you .,,,0
1105,Wonderful . Enjoy your stay in Cambridge !,,,0
1106,Can you help me in finding a suitable guesthouse please ?,,,0
1107,There are 24 guest houses available . Is there a particular area of the city you 'd prefer to stay in ?,,,0
1108,"Yes , I 'd like to stay in the centre of town please .",,,0
1109,I have two options for you . Both offer free wifi and parking . The El Shaddai has no star rating or the Alexander B & B has a 4 - star rating .,,,0
1110,I 'll take the El Shaddai please .,,,0
1111,Sure thing . Do you want me to book it for you ?,,,0
1112,"Yes . I want to book it for 2 nights , 5 people starting on Friday .",want,it nights Friday book people I 2 5 on for starting want,1
1113,"The booking was successful , your reference code is 8090X905 . Do you want further assistance ?",is,code is 8090X905,1
1114,No that 's all . Good bye !,,,0
1115,Thank you goodbye !,,,0
1116,Can you help me find a place to go on the east side of town where I can enjoy multiple sports ? Thanks .,,,0
1117,There is the cherry hinton village centre . Would you like me to making a reservation for you ?,,,0
1118,"No thanks , I 'd like to call them first . Can you give me the address , phone number and entry fee for Cherry hinton village centre ?",,,0
1119,"Their phone number is 01223576412 and the postcode cb19ej . They are located at Colville Road , Cherry Hinton .",is,is 01223576412 number,1
1120,looking for a train . The train should go to london liverpool street and should leave on saturday,go,saturday on train leave go,1
1121,Where will you leave from ?,,,0
1122,I am leaving from Cambridge .,,,0
1123,how about train TR4078 that leaves at 13:39 ?,,,0
1124,When will it arrive ? I need it to arrive by 19:30 .,need,I 19:30 by it need arrive,1
1125,how about the TR8530 ? that train arrives at 19:07,arrives,at 19:07 train arrives,1
1126,"That will work , go ahead and book that .",,,0
1127,For how many people ?,,,0
1128,I do n't need need reservations I just need a price and train ID .,,,0
1129,The train ID is TR8530 and the price is 13.28 pounds .,,,0
1130,ok that s it thank you .,,,0
1131,Thank you for letting us help you today .,Thank,you for help you today us Thank letting,1
1132,"Hi , I want a moderately priced restaurant located in the south part of town .",,,0
1133,Pizza hut cherry hinton is in the south part of town and in the moderate price range . Would you like their location ?,,,0
1134,address and postcode please,,,0
1135,"Their address is G4 Cambridge Leisure Park Clifton Way Cherry Hinton and their postcode is C.B 1 , 7 D.Y. Is there anything else I can do for you today ?",is,I is Is do today D.Y. anything,1
1136,"No , thank you , goodbye .",,,0
1137,enjoy your meal !,,,0
1138,I would like inexpensive Turkish food .,,,0
1139,I 'm sorry I do not show anything available . Would you like to try something else ?,,,0
1140,"Ok , how about an Italian restaurant ?",,,0
1141,There are 5 listings matching your criteria . Do you have a preference on the area ?,,,0
1142,I do not have a preference of area as long as it 's cheap . Please make a suggestion .,,,0
1143,"Ask is an Italian restaurant in the cheap priced category , and is the centre of town .",,,0
1144,Can I get the address and phone number ?,,,0
1145,Ask is at 12 Bridge Street City Centre and can be reached at 01223 364917 . Can I help you anything else today ?,help,today I help anything,1
1146,"No , thank you . Good bye .",,,0
1147,"You 're welcome , enjoy your food .",,,0
1148,Hi ! Would you please help me find a hotel to stay at ?,,,0
1149,"Certainly , what can I use to narrow down your search ?",,,0
1150,"It needs to be 2 star , have free parking and free wifi .",,,0
1151,We have 3 results . What area are you interested in staying in ? And what price range ?,,,0
1152,I do not have a preference . Please pick one and get me a booking for 8 people for 3 nights staring from Friday .,pick,pick get people booking nights Friday one for for staring 8 from 3,1
1153,I was able to book you at the Ashley Hotel . Your booking was successful . Reference number is : 79F1XIW2 . Is there anything else I can help you with ?,,,0
1154,i also need a train that should leave after 16:45 destination bishops stortford,need,16:45 stortford need bishops train i,1
1155,I see a departing train leaving at 17:29 .,see,leaving see 17:29 train I at,1
1156,"I need to travel on Monday , departing Cambridge . Does that make a difference ?",need,Monday on need I travel,1
1157,That train still meets your criteria . Train TR2530 departs Cambridge for Bishops Stortford on Monday at 17:29 . Would you like me to book this ?,departs,on 17:29 Cambridge at departs Monday TR2530,1
1158,"Yes , I need 8 tickets . And could you provide the reference number ?",,,0
1159,"Booking was successful , the total fee is 80.8 GBP payable at the station . Your reference number is 99VHJ3AR . Do you need anything else ?",,,0
1160,"No thanks , that will be everything .",,,0
1161,It was a pleasure to help you . Have a good day .,,,0
1162,Thank you for your time goodbye !,,,0
1163,thanks for using our services,,,0
1164,"I need to book a train from stansted airport to cambridge , can you help me ?",,,0
1165,"Yes , what day will you be traveling ?",,,0
1166,"monday , after 11:15",after,after monday,1
1167,There are 13 trains that match . Shall I reserve any tickets for you ?,,,0
1168,Can you reserve 6 tickets on the next train after 11:15 ?,,,0
1169,I reserved you 6 seats on the TR5754 . It leaves at 11:24 . The total fee of 60.59 GBP is payable at the station . Your reference number is : 1IBJMMM8,leaves,leaves at 11:24 It,1
1170,Great sounds perfect ! ! Thank you so much for all your help .,,,0
1171,No problem . Have a great day and trip . Goodbye .,,,0
1172,I would like a restaurant that serves world food,,,0
1173,"I m sorry , there are no restaurants that serve world food . Can I help you with something else ?",,,0
1174,How about portuguese food ?,,,0
1175,Nandos serves Portuguese and is located in the south part of town and is in the cheap price range .,,,0
1176,What is the phone number and address ?,,,0
1177,"The phone number is 01223 327908 , and the address is Cambridge Leisure Park Clifton Way . May I help you with anything else ?",is,01223 number is 327908,1
1178,Thank you goodbye .,,,0
1179,Goodbye .,,,0
1180,Can you find me an expensive restaurant in the north ?,,,0
1181,There are five expensive places to dine in the North . Would you like to try asian oriental cuisine ?,,,0
1182,Yes . That 's exactly what I 'm looking for .,,,0
1183,Saigon City at 169 High Street Chesterton fits the description . Shall I make a reservation for you ?,,,0
1184,"Yes , please . Can you make a reservation for 7 people at 12:30 on a Tuesday ? Thanks",make,reservation you on 12:30 Tuesday make at,1
1185,I made a reservation for you at Saigon City for a party of 7 on Tuesday at 12:30 . Your reference is N2FHZ30Y . Is there anything else I can help you with ?,made,12:30 made on reservation at I Tuesday,1
1186,Wonderful . I 'm also looking for a cool place to check out in the same area .,,,0
1187,"There are 79 attractions , would you like to try cineworld cinema ?",,,0
1188,I actually want to find a museum and it should be in the same area as my restaurant,,,0
1189,"Sorry , I 'm not seeing any results . Want to try a different type or area ?",,,0
1190,Let 's try for a boat type instead then,,,0
1191,"There is one listing here . It is riverboat georgina . Its entrance fee is unlisted but the address is cambridge passenger cruisers , jubilee house , postcode cb43ax and phone 01223902091",,,0
1192,"Thanks , I do n't need anything else today ! bye !",need,n't anything need I today,1
1193,Ok . Have a great day .,,,0
1194,"Hello , do you have any information regarding interesting theatres to visit in the centre of town ?",,,0
1195,"Sure thing , there are four theatres in the centre of town . ADC Theatre , Cambridge Arts Theatre , Mumford Theatre , and The Cambridge Corn Exchange .",,,0
1196,I 'm interested in one of the theatres ! Can I get the entrance fee information for those ?,,,0
1197,"I 'm sorry , but none of the theaters list the entrance fee . Would you like the phone number for any of them ?",,,0
1198,"That 's okay , could you provide me with the postcode and address , please ? Also , I am looking for a train leaving after 16:00 this Monday .",looking,Monday I leaving for this looking 16:00 train after,1
1199,"The ADC Theatre is located on Park Street and its postcode is cb23pj . Before I find your train , could you tell me where you would like to go ?",,,0
1200,"Of course , silly me :P I am looking for a train from cambridge to stevenage",,,0
1201,The TR0254 leaves Cambridge at 17:21 .,leaves,at Cambridge leaves 17:21 TR0254,1
1202,"Awesome , thank you very much ! I 'm pretty sure that 's all I need right now , but I 'll be back if I think of anything else . Later !",,,0
1203,Great thank you for using our system .,,,0
1204,"Yes , I am hoping you can give me some information on a train .",,,0
1205,Can you please give me more information ? There are numerous trains leaving on Friday to Cambridge .,are,Friday trains on are leaving,1
1206,I am leaving cambridge on Tuesday and going to Birmingham new street .,leaving,leaving Tuesday on I cambridge,1
1207,"Sure , there are plenty of trains that match your requirements . Did you have a particular time of day you were wanting to travel on Friday ?",have,you Friday wanting on travel time have you,1
1208,I would like to leave after 21:45 .,like,leave I 21:45 after like,1
1209,There are two trains that fit your criteria . One will arrive at 24:33 and the other at 01:44 . Which suits your needs ?,arrive,arrive at 24:33 One at 01:44,1
1210,How about the one arriving at 01:44 .,about,about arriving one 01:44 at,1
1211,How many tickets can I book for you ?,,,0
1212,What is the travel time for the one arriving at 1:44 .,is,is one 1:44 at for arriving time,1
1213,The travel time for TR4724 is 163 minutes .,is,is minutes 163 time,1
1214,I would also like to go to a museum .,,,0
1215,There are 23 museums available . Which part of town do you prefer ?,,,0
1216,I 'm fine with any area of town .,,,0
1217,"we have lovely museums in the east , west , south and centre . I prefer the byard art myself that 's in the south",,,0
1218,"I would like to give that a try . What is the entrance fee , phone number and area ?",,,0
1219,byard art museum is located in the south part of town . Their entrance fee is free . Their phone number is 01223464646 . Can I further assist you today ?,assist,I assist you today,1
1220,Thanks so much . That 's all I need . Goodbye !,,,0
1221,You are welcome ! I hope you enjoy your time at the museum . I am happy to have been able to assist you .,,,0
1222,I need a South restaurant with british food .,,,0
1223,I 'm sorry but I can not find any british food located in the south part of town .,,,0
1224,Is there a chinese restaurant in the south part of town ?,,,0
1225,I 've found three Chinese restaurants in the south part of town . Does price range matter to you ?,,,0
1226,"No , any price range is fine . I would just like to know the address and price range of one of the restaurants .",,,0
1227,Peking Restaurant is an expensive Chinese restaurant that is located at 10 Homerton Street City Centre . Is there anything else I can help you with today ?,Is,you Is help today anything with I,1
1228,"No , thank you .",,,0
1229,Thank you .,,,0
1230,Are you able to find me a french expensive restaurant ?,,,0
1231,"There are 2 expensive French restaurants . Restaurant Two Two , and Cote . Which would you like to book ?",Restaurant,Two Restaurant Two,1
1232,"I like the sound of Restaurant Two Two , could you give me their postcode , address and phone number ?",,,0
1233,"Restaurant Two Two is located at 22 Chesterton Road , Chesterton . Their postcode is cb43ax . You can reach them at 01223351880 . Any other information I can provide ?",reach,at them You 01223351880 reach,1
1234,"No , that 's everything I needed today . Thank you .",'s,everything today 's needed that I,1
1235,You 're quite welcome ! Thanks for contacting the Cambridge TownInfo Centre and have a great day !,,,0
1236,I want to know where I can go in the town centre of Cambridge .,,,0
1237,There are many places to go in the centre . Are you looking for an attraction or restaurant ?,,,0
1238,"An attraction of any type would be fine as long as it 's in the centre , please .",,,0
1239,I could recommend old schools . It is architecture and free to see . Would you like more information ?,,,0
1240,Yes tell me one of those recommendations .,,,0
1241,Old Schools is an architectural attraction on Trinity Lane that has no entrance fee . Their phone number is 01223332320 . Can I help you with anything else ?,,,0
1242,Can you provide me the full address including postal code ? Thanks .,,,0
1243,The address listed for Old Schools is simply Trinity Lane . And their postcode is cb21tt . Is there anything more I can do for you today ?,Is,I Is do today anything,1
1244,"Yes , I would also like to find an expensive restaurant in the same area .",,,0
1245,What kind of food would you like and what price range,,,0
1246,I would prefer British food and an expensive price range if possible .,,,0
1247,I have three restaurants in the town centre that meet your needs . Might I suggest the Cambridge Chop house or Fitzbillies restaurant ?,,,0
1248,Can you please recommend one and give me their postcode and phone number ?,,,0
1249,The Cambridge Chop House is a favorite of mine . It 's located at 1 Kings Parade . Would you like me to book it for you ?,,,0
1250,"No thanks , but I am interested in getting a tax from Old Schools to the Cambridge Chop House . Can you help ?",,,0
1251,What time will you be needing the taxi service for ?,,,0
1252,I would like to leave Old Schools by 19:00 .,like,like 19:00 leave by I Schools,1
1253,"Okay your all set ! A red lexus will be picking you up the contact number is 07885505407 , is there anything else I can help you with today ?",picking,lexus you picking is is help today anything with you 07885505407 I,1
1254,Thank you that will be all I need .,,,0
1255,I 'm happy to have been of service . Goodbye !,,,0
1256,Can I please get a train ticket from Norwich to Cambridge ?,,,0
1257,We have many trains available but to help find the right one could you provide me with what day you will be departing and your departure time and arrival ?,,,0
1258,I will be leaving after 15:15 on Tuesday .,leaving,Tuesday leaving I on 15:15 after,1
1259,TR4180 leaves at 15:16 . Does that work for you ?,leaves,leaves at 15:16 TR4180,1
1260,"Perfect , can I get 8 tickets ?",,,0
1261,"Booking was successful , the total fee is 140.8 GBP payable at the station . Reference number is : CO0GWJCJ . Can I help you with anything else today ?",help,I today you help,1
1262,i am also looking for places to go in town . The attraction should be in the type of park .,,,0
1263,We have a lot of excellent options . Is there a particular area you 'd like to visit ?,,,0
1264,"Yes , I would like to visit a park .",,,0
1265,"There are parks in the centre , east , north and south . Could you please let me know which area you prefer ?",,,0
1266,"The area does n't matter , can you recommend one ?",,,0
1267,There is the Cherry Hinton Water Play park in the east . It 's free to get into .,,,0
1268,Can I get the phone number and the postcode ?,,,0
1269,"Sure , the phone number is 01223446011 and the postcode is cb18dw . Is there anything else I can help you with ?",is,number is 01223446011,1
1270,"Yes , I would like to find a park to go to . I will need the phone number and postcode . Also , what is the entrance fee for this ? Thanks !",,,0
1271,It is free admission .,,,0
1272,"Okay , that 's all I need , thank you so much !",,,0
1273,"Have a nice day , goodbye .",Have,a goodbye Have nice day,1
